Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"33 Ermelo Rd, Strubenvale, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"9916 Monametsi St, Phomolo, Springs, 1575, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"3 Dorset St, Springs Central, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Kingsway, Springs, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop 27, The Avenues Shopping Centre Cnr. Poskantoor &amp;, 6th Ave, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"3969 Ramothibe St, Masimini, Springs, 1563, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Lodeyko, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"107 Phoenix Rd N, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Cnr Malandela &amp; Modjaji St, Shop 69, Tsakane Mall, Springs, 1548, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop 20 Springsgate Shopping Centre Cnr Paul Kruger&amp;, Connaught Ave, Geduld, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Nigel S Rd, Selcourt, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"110 4th Ave, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"114 Ermelo Rd, Casseldale, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop B1C\\/Y1 Ekhaya Shopping Centre Cnr Black and Vlakfontein Roads, Kwa-Thema, 1563, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"189 Nigel S Rd, Selcourt, Springs, 1567, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Gauteng, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"5134 Mampe St, White City, Springs, 1550, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"4 Anemoon Ave, Edelweiss, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shabangu St, Kwa-Thema, Springs, 1575, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"22 Springs W Rd, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"3A Largo Rd, Strubenvale, Springs, 1570, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop MC 03, Springsgate Shopping Centre Cnr Paul Kruger &amp; Connaught Roads, Geduld, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"39 3rd St, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"3 Pumice Ave, Dersley, Springs, 1569, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop U2 Springs Mall, Jan Smuts Rd, Casseldale, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"6 Cloverfield Rd, Dersley, Springs, 1569, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"10 2nd St, Springs Old, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Welgedacht Rd &amp; 1st Ave, Bakerton, Springs, 1578, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"64 5th Ave, Springs New, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"20552 Mhlongo St, Kwa-Thema, Springs, 1575, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"47 Connaught Ave, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Casseldale Shopping Centre, 66D Ermelo Rd, Casseldale, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Selcourt, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"5 Charterland Ave, Selcourt, Springs, 1567, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"3Rd St, 5th Ave, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"4th St, Springs New, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Wit Road, Corner Ramona Road, Shop 11, Selcourt Towers, Selcourt, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Springs Station Shopping Centre, Springs Station, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop L53, Springs Mall, N17, R51, Casseldale, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Springs Mall, Grootvlei Proprietary Mines, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"19 Charterland Ave, Selcourt, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"1559, 69 1st Ave, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Cnr Wit and, Jan Smuts Rd, Casseldale, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"2 Roxburgh Rd, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Springsgate Shopping Centre Cnr. Paul Kruger Rd &amp;, Connaught Ave, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"2 Springs W Rd, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"14 Cowles St, Rowhill, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"11147 Mothlaping St, Kwa-Thema, Springs, 1575, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"7 Hewitt Ave, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Modjadji Street, Corner Malandela Street, Shop 97, Tsakane Mall, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop 195B, Nigel Rd, Selcourt, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"110 4th Ave, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"13 Tinktinkie Cres, Presidentsdam, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"South Main Service Station Cnr South Main Reef &amp; Plantation Roads, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"10632 Kgaswane St, Gugulethu, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Cnr 9th Avenue &amp;, Springs W Rd, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Marule Straat, Rest in Peace, Springs, 1575, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Cnr 3rd Ave &amp;, Springs W Rd, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"11 Nigel Rd, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"No.181, Cnr Nigel &amp;, Caribou Rd, Roads, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"3 Short St, Springs Old, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"19, Springsgate Shopping Centre, Paul Kruger Rd, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop No 1, Ekhaya Shopping Centre, Cnr Vlakfontein &amp; Ndabezitha Street, Kwa-Thema, 1563, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Springsgate Shopping Centre, Main Reef Rd, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop No 1 Selcourt Shopping Centre Cnr Nigel Road &amp;, Charterland Ave, Selcourt, Springs, 1567, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Coaton Ave, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop No 70A Tsakane Mall Corner Modjai and, Malandela St, Tsakane, Springs, 1558, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Wauchope St, White City, Springs, 1550, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"1 Parkes Rd, Selection Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"10632 Kgaswane St, Gugulethu, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"63 3rd St, Springs New, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Clydesdale Rd, Casseldale, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop 6, Kwa Thema Civic Centre, Moshoeshoe St, Kwa-Thema, Springs, 1563, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"195 Nigel S Rd, Selcourt, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"11, Springsgate Shopping Centre, Paul Kruger Highway, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Springs Mall Corner Jan Smuts &amp;, Wit Rd, Lodeyko, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop 77A Springs Mall Corner Witt &amp;, Jan Smuts Rd, Casseldale, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"5509 Nkosi St, White City, Springs, 1550, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"21 3rd St, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"53-33 4th Ave, Geduld, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Olympia Rd, Springs Airfield, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"34 5th Ave, Springs New, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Paul Kruger Rd, Geduld Proprietary Mines, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Mbele Engen Garage Cnr Nkosi &amp;, Kgaswane St, Kwa-Thema, Springs, 1563, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"3 Ermelo Rd, Strubenvale, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Shop L51 Cnr Jan Smuts &amp;, Wit Rd, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Springs New, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"67 3rd St, Springs New, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Lodeyko, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"72 5th Ave, Springs New, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Tugela Ave, Langaville, Springs, 1550, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Wilge Ave &amp; Spekboom Cres, Dal Fouche, Springs, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"12 4th St, Springs Old, Springs, 1560, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Ellis St, Wright Park, Springs, 1559, South Africa",Springs,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"121,610.00","4,118,000.00"
"Boksburg, 1459, South Africa",Benoni,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"158,777.00","4,118,000.00"
"Boksburg, 1459, South Africa",Benoni,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"158,777.00","4,118,000.00"
"Brakpan, 1540, South Africa",Brakpan,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"73,080.00","4,118,000.00"
"Brakpan, 1540, South Africa",Brakpan,Resturant,Gold,Ekurhuleni Metropolitan Municipality,N/A,"73,080.00","4,118,000.00"
"Hendrik Van Eck Blvd, Vanderbijlpark S. E. 6, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"6a Delius St, SW5, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"20 Ericson St, Vanderbijlpark C. E. 1, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"35 Offenbach St, Vanderbijlpark S. W. 5, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Vanderbijlpark S. W. 5, Vanderbijlpark, 3250, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Sharpeville, Tshepiso, Vanderbijlpark, 1928, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"9 President Boshoff St, Vanderbijlpark S. E. 1, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"14 Vaal Dr, Sylviavale, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"101 River Rd, Mantervrede AH, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"1 Bogart St, Vanderbijlpark C. E. 2, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 3, Trackstar Trading Building, Hendrik Van Eck Blvd, SE4, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop S126, Vaal Mall Shopping Centre Cnr Rossini Boulevard And, Barrage Rd, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Vanderbijlpark C. W. 3, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"29 Macowen St, Vanderbijlpark S. E. 2, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"49 Rossini Blvd, Vanderbijlpark S. W. 1, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"11 Olifantsrivier St, Vanderbijlpark S. E. 4, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Cornwallis Harris St, Vanderbijlpark S. E. 7, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"32 Northdene, Stokkiesdraai Road, Vanderbijlpark, 1913, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"16 Ouhout Street, Vanderbijlpark S. E. 3, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"1 Colonel Gordon St, Vanderbijlpark S. E. 7, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 19A, Riverside Boulevard Shopping Centre, Corner Chopin Street &amp; Frikkie Meyer Boulevard, Vanderbijlpark, 1911, South",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"27 Frikkie Meyer Blvd, Vanderbijlpark C. C., Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Corner Hans Strydom &amp;, General Smuts St, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 8 A, Riverside Boulevard Shopping Centre c\\/o Chopin str and, Frikkie Meyer Blvd, Vanderbijlpark, 1940, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Junction Centre, Cnr Chopin St &amp;, Beethoven St, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Ravel St, Vanderbijlpark S. W. 6, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Vanderbijlpark Centre, Frikkie Meyer Blvd, Vanderbijlpark C. W. 1, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 11 Riverside Boulevard Corner Frikkie Meyer Boulevard &amp;, Chopin St, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"777 Frikkie Meyer Blvd, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Frikkie Meyer Blvd Riverside Boulevard Mall, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 4, 1 Verdi St, Vanderbijlpark S. W. 5, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Vaal mall cnr Rossini blvd &amp; Barrage rd shop U3 Vaal mall SW1, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 36, Riverside Boulevard, Cnr Frikkie Meyer Blvd &amp; Choppin Street, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Frikkie Meyer Blvd &amp;, Jan Van Riebeeck Blvd, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"71 b Ravel St, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop No 127, Vaal Mall, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 36 Vaal Mall, Barrage Rd, SW2, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"57 Faraday Blvd, Vanderbijlpark C. W. 1, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Shop 7 Vaal Mall Barrage Road (R42, Rossini Blvd, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Frikkie Meyer Blvd, Vanderbijlpark S. W. 5, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Emerald Casino, 777 Frikkie Meyer Blvd, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"235 Louis Trichardt Blvd, Se7, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Edison Blvd, Vanderbijlpark C. E. 6, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Vanderbijlpark C. C., Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"21 Macowen St, Vanderbijlpark S. E. 2, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"2 Milton St, Vanderbijlpark C. W. 6, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Plot 257, Lochvaal, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Hans Strijdom St, Vanderbijlpark C. C., Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"43 z, Chopin St, Vanderbijlpark S. W. 5, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Bophelong, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"745 Vaaloewer Ave, Vaal Oewer, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Staalrus AH, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Barrage Rd, Vanderbijlpark S. W. 2, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Vanderbijlpark N. W. 7, Vanderbijlpark, 3250, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"12, Perfect Centre, Macowen St, Vanderbijlpark SE 2, Vanderbijlpark, 1900, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Cornwallis Harris St, Vanderbijlpark S. E. 7, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Northdene AH, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
"Helena Lochner St, Vanderbijlpark S. W. 1, Vanderbijlpark, 1911, South Africa",Vanderbijlpark,Resturant,Gold,Emfuleni Local Municipality,N/A,"95,840.00","721,663.00"
